Chidamber-Kemerer metrics,sábado, 26 nov 2022 18:35:08 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
biz.ganttproject.impex.csv.GanttCSVExport,32,1,1,0,109,71
biz.ganttproject.impex.csv.GanttCSVOpen,16,1,5,0,51,37
biz.ganttproject.impex.csv.ImporterFromCsvFile,15,2,4,0,25,5
biz.ganttproject.impex.csv.RecordGroup,6,1,5,11,29,20
biz.ganttproject.impex.csv.ResourceRecords,11,2,1,0,34,8
biz.ganttproject.impex.csv.ResourceRecords.ResourceFields,2,n/a,2,n/a,6,2
biz.ganttproject.impex.csv.TaskRecords,28,2,1,0,88,45
biz.ganttproject.impex.csv.TaskRecords.AssignmentColumnSpecImpl,10,1,1,0,13,5
biz.ganttproject.impex.csv.TaskRecords.AssignmentSpec,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.impex.csv.TaskRecords.ResourceColumnSpecImpl,7,1,1,0,9,7
biz.ganttproject.impex.csv.TaskRecords.TaskFields,4,n/a,2,n/a,7,3
biz.ganttproject.impex.ical.IcsConverter,1,1,1,0,12,3
biz.ganttproject.impex.ical.IcsConverter.Args,1,1,0,0,0,0
biz.ganttproject.impex.ical.IcsFileImporter,14,2,2,0,43,18
biz.ganttproject.impex.ical.IcsFileImporter.CalendarEditorPage,5,1,2,0,17,9
biz.ganttproject.impex.msproject2.CustomPropertyMapping,9,1,1,0,18,23
biz.ganttproject.impex.msproject2.CustomPropertyMappingTest,7,4,1,0,13,4
biz.ganttproject.impex.msproject2.ExporterToMsProjectFile,11,2,4,0,33,20
biz.ganttproject.impex.msproject2.ImporterFromMsProjectFile,23,2,3,0,46,11
biz.ganttproject.impex.msproject2.LocaleOption,5,3,2,0,13,6
biz.ganttproject.impex.msproject2.ProjectFileExporter,31,1,1,0,190,74
biz.ganttproject.impex.msproject2.ProjectFileExporter.CustomPropertySetter,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.impex.msproject2.ProjectFileImporter,53,1,2,0,248,135
biz.ganttproject.impex.msproject2.ProjectFileImporter.HolidayAdder,n/a,n/a,n/a,n/a,2,n/a
biz.ganttproject.impex.msproject2.WebStartIDClass,0,1,0,0,0,0
net.sourceforge.ganttproject.AbstractChartImplementation,40,1,10,2,103,64
net.sourceforge.ganttproject.AbstractChartImplementation.ChartSelectionImpl,3,1,3,2,6,7
net.sourceforge.ganttproject.AbstractChartImplementation.MouseHoverLayerUi,8,3,2,0,32,5
net.sourceforge.ganttproject.CalendarEventAction,8,3,1,4,18,17
net.sourceforge.ganttproject.ChartComponentBase,45,5,11,2,98,45
net.sourceforge.ganttproject.ChartImplementation,n/a,n/a,n/a,n/a,11,n/a
net.sourceforge.ganttproject.ChartTabContentPanel,13,1,1,2,69,25
net.sourceforge.ganttproject.CustomProperty,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.CustomPropertyClass,15,n/a,4,n/a,12,9
net.sourceforge.ganttproject.CustomPropertyDefinition,n/a,n/a,n/a,n/a,12,n/a
net.sourceforge.ganttproject.CustomPropertyHolder,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.CustomPropertyListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.CustomPropertyManager,n/a,n/a,n/a,n/a,8,n/a
net.sourceforge.ganttproject.CustomPropertyManager.PropertyTypeEncoder,15,1,2,0,14,30
net.sourceforge.ganttproject.DefaultCustomPropertyDefinition,8,1,4,0,26,19
net.sourceforge.ganttproject.DesktopIntegration,11,1,2,0,9,9
net.sourceforge.ganttproject.DialogBuilder,9,1,1,0,37,18
net.sourceforge.ganttproject.DialogBuilder.Commiter,1,1,1,0,2,2
net.sourceforge.ganttproject.DialogBuilder.DialogImpl,7,1,1,0,13,7
net.sourceforge.ganttproject.DialogBuilder.NotificationViewImpl,2,1,2,0,14,8
net.sourceforge.ganttproject.EmailSender,1,1,2,0,7,6
net.sourceforge.ganttproject.ErrorNotifier,1,1,1,0,15,4
net.sourceforge.ganttproject.FacadeInvalidator,3,2,2,0,12,10
net.sourceforge.ganttproject.GPLogger,91,1,4,0,60,26
net.sourceforge.ganttproject.GPTransferable,13,1,2,0,41,11
net.sourceforge.ganttproject.GPTreeTableBase,46,7,9,2,189,113
net.sourceforge.ganttproject.GPTreeTableBase.ColumnImpl,8,1,4,0,29,18
net.sourceforge.ganttproject.GPTreeTableBase.HeaderMouseListener,8,2,1,0,36,14
net.sourceforge.ganttproject.GPTreeTableBase.SortTableHeaderRenderer,2,1,1,0,10,6
net.sourceforge.ganttproject.GPTreeTableBase.TableHeaderUiFacadeImpl,13,1,1,0,71,56
net.sourceforge.ganttproject.GPTreeTableBase.VscrollAdjustmentListener,7,1,3,0,16,7
net.sourceforge.ganttproject.GPTreeTransferHandler,14,2,2,0,30,14
net.sourceforge.ganttproject.GPVersion,9,1,1,0,8,3
net.sourceforge.ganttproject.GanttChartTabContentPanel,17,2,3,0,40,15
net.sourceforge.ganttproject.GanttExportSettings,18,1,9,0,24,23
net.sourceforge.ganttproject.GanttGraphicArea,50,6,9,0,104,49
net.sourceforge.ganttproject.GanttGraphicArea.MouseSupport,3,1,1,0,5,4
net.sourceforge.ganttproject.GanttOptions,29,2,8,0,180,106
net.sourceforge.ganttproject.GanttOptions.GanttXMLOptionsParser,12,2,1,0,42,93
net.sourceforge.ganttproject.GanttPreviousState,15,1,3,0,32,10
net.sourceforge.ganttproject.GanttPreviousState.BaselineSaver,4,2,1,0,6,1
net.sourceforge.ganttproject.GanttPreviousStateTask,8,1,5,0,6,6
net.sourceforge.ganttproject.GanttProject,118,7,9,0,368,156
net.sourceforge.ganttproject.GanttProject.Args,2,1,0,0,0,0
net.sourceforge.ganttproject.GanttProject.ParserFactoryImpl,7,1,2,0,10,2
net.sourceforge.ganttproject.GanttProjectBase,62,6,31,1,132,59
net.sourceforge.ganttproject.GanttProjectBase.RowHeightAligner,7,1,1,0,9,2
net.sourceforge.ganttproject.GanttProjectImpl,26,1,21,1,54,33
net.sourceforge.ganttproject.GanttProjectImpl.DefaultTaskColorOption,6,3,3,0,8,5
net.sourceforge.ganttproject.GanttProjectImpl.TaskManagerConfigImpl,11,1,6,0,11,8
net.sourceforge.ganttproject.GanttResourcePanel,42,6,16,0,143,67
net.sourceforge.ganttproject.GanttSplash,4,6,2,0,21,5
net.sourceforge.ganttproject.GanttTask,18,2,2,0,19,5
net.sourceforge.ganttproject.GanttTree2,43,6,13,0,168,71
net.sourceforge.ganttproject.GanttTree2.GanttTreeDropListener,3,2,1,0,18,9
net.sourceforge.ganttproject.GanttTree2.GanttTreeExpansionListener,4,1,1,0,8,4
net.sourceforge.ganttproject.GanttTreeTable,21,8,4,0,62,23
net.sourceforge.ganttproject.GanttTreeTable.ModelListener,3,1,1,0,4,1
net.sourceforge.ganttproject.GanttTreeTableModel,40,3,9,0,125,75
net.sourceforge.ganttproject.GanttTreeTableModel.BeginDateComparator,3,1,1,0,3,1
